City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,77.0,light rain,22.08,-159.32,Kapaʻa
2,Suba,PH,83.68,light rain,10.84,121.01,Cuyo
3,Hithadhoo,MV,82.17,heavy intensity rain,-0.6,73.08,Addu City
7,Bosaso,SO,76.59,clear sky,11.28,49.18,Bosaso
8,Namatanai,PG,83.75,broken clouds,-3.67,152.43,Namatanai
9,Victoria,HK,81.0,overcast clouds,22.29,114.16,Hong Kong
12,Bengkulu,ID,80.82,overcast clouds,-3.8,102.27,Bengkulu
15,Atuona,PF,77.86,light rain,-9.8,-139.03,Atuona
16,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Nukuhetulu
21,Male,MV,86.0,few clouds,4.17,73.51,Malé
22,Hobart,AU,77.0,clear sky,-42.88,147.33,Hobart
28,Sola,VU,87.8,broken clouds,-13.88,167.55,Sola
31,Port-Gentil,GA,78.91,moderate rain,-0.72,8.78,Port-Gentil
37,Georgetown,MY,84.2,few clouds,5.41,100.34,George Town
41,New Norfolk,AU,77.0,overcast clouds,-42.78,147.06,New Norfolk
59,Hilo,US,82.4,clear sky,19.73,-155.09,Hilo
62,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Alofi
65,Rantepao,ID,79.21,light rain,-2.97,119.9,Rante Pao
66,Cabo San Lucas,MX,79.0,clear sky,22.89,-109.91,Cabo San Lucas
68,Atar,MR,79.12,overcast clouds,20.52,-13.05,Atar
70,Teknaf,BD,80.87,heavy intensity rain,20.86,92.31,Teknaf
77,Naze,JP,80.6,few clouds,28.37,129.48,Amami
85,San Nicolas,PH,89.6,broken clouds,18.17,120.6,Laoag City
86,Butaritari,KI,82.11,light rain,3.07,172.79,Isles Sunset Lodge
89,Faanui,PF,80.15,light rain,-16.48,-151.75,Vaitape
93,Port Blair,IN,83.53,broken clouds,11.67,92.75,Port Blair
95,Fayaoue,NC,77.58,moderate rain,-20.65,166.53,Fayaoue
97,San-Pedro,CI,76.51,scattered clouds,4.75,-6.64,San-Pedro
98,Puerto Narino,CO,75.2,clear sky,-3.77,-70.38,Puerto Nariño
100,Esperance,AU,80.6,light rain,-33.87,121.9,Esperance
102,Cockburn Town,TC,82.2,overcast clouds,21.46,-71.14,Cockburn Town
103,Pitimbu,BR,78.8,broken clouds,-7.47,-34.81,Pitimbu
104,Itarema,BR,79.52,scattered clouds,-2.92,-39.92,Itarema
107,Akyab,MM,79.92,light rain,20.15,92.9,Sittwe
