City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.08,-159.32,77.0,88,90,6.93,light rain
1,Rikitea,PF,-23.12,-134.97,74.17,86,72,24.36,broken clouds
2,Suba,PH,10.84,121.01,83.68,77,97,17.36,light rain
3,Hithadhoo,MV,-0.6,73.08,82.17,74,100,7.96,heavy intensity rain
4,Norman Wells,CA,65.28,-126.83,-2.2,84,75,2.24,broken clouds
5,Ostrovnoy,RU,68.05,39.51,38.48,91,100,25.34,overcast clouds
6,Nouadhibou,MR,20.93,-17.03,73.4,49,0,13.87,clear sky
7,Bosaso,SO,11.28,49.18,76.59,72,0,4.99,clear sky
8,Namatanai,PG,-3.67,152.43,83.75,73,67,3.85,broken clouds
9,Victoria,HK,22.29,114.16,81.0,60,100,1.01,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,57.2,54,40,6.93,scattered clouds
11,Punta Arenas,CL,-53.15,-70.92,51.8,71,0,5.82,clear sky
12,Bengkulu,ID,-3.8,102.27,80.82,79,100,1.1,overcast clouds
13,Mercedes,AR,-34.65,-59.43,59.0,87,5,7.09,clear sky
14,Myitkyina,MM,25.38,97.4,73.02,95,97,1.92,light rain
15,Atuona,PF,-9.8,-139.03,77.86,77,92,14.76,light rain
16,Vaini,TO,-21.2,-175.2,78.8,83,75,10.29,broken clouds
17,Carlisle,US,40.2,-77.19,42.8,60,75,23.04,broken clouds
18,Pisco,PE,-13.7,-76.22,64.4,82,90,13.87,overcast clouds
19,Sitka,US,57.05,-135.33,50.0,87,90,21.92,mist
20,Thompson,CA,55.74,-97.86,24.8,92,75,6.93,broken clouds
21,Male,MV,4.17,73.51,86.0,74,20,5.82,few clouds
22,Hobart,AU,-42.88,147.33,77.0,44,0,6.93,clear sky
23,Nuuk,GL,64.18,-51.72,23.0,100,1,6.93,light snow
24,Puerto Ayora,EC,-0.74,-90.35,69.01,91,99,3.0,overcast clouds
25,Tilichiki,RU,60.47,166.1,29.43,93,82,2.91,broken clouds
26,Kununurra,AU,-15.77,128.73,98.6,35,50,8.05,scattered clouds
27,Bethel,US,41.37,-73.41,44.6,65,75,9.17,broken clouds
28,Sola,VU,-13.88,167.55,87.8,94,75,11.41,broken clouds
29,Arraial Do Cabo,BR,-22.97,-42.03,68.22,72,2,16.69,clear sky
30,Ormond Beach,US,29.29,-81.06,71.6,100,90,13.4,overcast clouds
31,Port-Gentil,GA,-0.72,8.78,78.91,83,100,10.98,moderate rain
32,Cape Town,ZA,-33.93,18.42,62.01,82,0,6.93,clear sky
33,Zyryanka,RU,65.75,150.85,-0.15,91,58,1.39,broken clouds
34,Nikolskoye,RU,59.7,30.79,35.6,93,90,6.71,overcast clouds
35,Puerto Ayacucho,VE,5.66,-67.62,73.53,95,100,0.36,overcast clouds
36,Mataura,NZ,-46.19,168.86,57.0,64,40,8.99,scattered clouds
37,Georgetown,MY,5.41,100.34,84.2,83,20,6.93,few clouds
38,Lampazos De Naranjo,MX,27.02,-100.52,65.16,53,2,3.38,clear sky
39,Albany,US,42.6,-73.97,41.0,75,76,1.01,light rain
40,Menongue,AO,-14.66,17.69,68.47,54,33,1.92,scattered clouds
41,New Norfolk,AU,-42.78,147.06,77.0,23,89,3.0,overcast clouds
42,Voskresenskoye,RU,56.84,45.43,32.92,94,97,4.21,overcast clouds
