City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2020-10-30 01:27:16,-21.21,-159.78,77.0,69,100,9.17
1,Port Alfred,ZA,2020-10-30 01:30:03,-33.59,26.89,60.62,67,100,14.27
2,Waddan,LY,2020-10-30 01:26:02,29.16,16.14,58.15,74,65,6.51
3,Kousseri,CM,2020-10-30 01:30:03,12.08,15.03,77.0,33,0,8.05
4,Menongue,AO,2020-10-30 01:30:04,-14.66,17.69,66.47,73,64,3.09
5,Mingoyo,TZ,2020-10-30 01:27:06,-10.1,39.63,75.2,88,40,1.23
6,Norrtalje,SE,2020-10-30 01:30:04,59.76,18.7,48.99,92,13,2.8
7,Mar Del Plata,AR,2020-10-30 01:28:42,-38.0,-57.56,50.0,87,0,8.97
8,Rikitea,PF,2020-10-30 01:30:05,-23.12,-134.97,75.56,73,100,6.73
9,Henties Bay,NA,2020-10-30 01:28:39,-22.12,14.28,55.0,90,8,1.01
10,Cape Town,ZA,2020-10-30 01:30:05,-33.93,18.42,51.01,75,20,2.24
11,Tasiilaq,GL,2020-10-30 01:28:33,65.61,-37.64,37.4,59,100,21.92
12,Kawalu,ID,2020-10-30 01:29:20,-7.38,108.21,78.75,80,72,2.66
13,Mataura,NZ,2020-10-30 01:28:26,-46.19,168.86,61.0,88,100,1.99
14,Brokopondo,SR,2020-10-30 01:30:06,4.75,-55.17,80.65,82,100,12.44
15,Guaruja,BR,2020-10-30 01:30:07,-23.99,-46.26,75.0,26,100,8.41
16,Kruisfontein,ZA,2020-10-30 01:30:07,-34.0,24.73,55.0,84,16,8.5
17,Yellowknife,CA,2020-10-30 01:30:07,62.46,-114.35,17.01,94,80,3.58
18,Cornwall,CA,2020-10-30 01:29:41,45.02,-74.73,39.2,64,90,18.34
19,Kavieng,PG,2020-10-30 01:30:07,-2.57,150.8,81.25,77,100,8.23
20,Wanning,CN,2020-10-30 01:25:20,18.8,110.4,77.43,89,100,14.52
21,Meadow Lake,US,2020-10-30 01:30:08,34.8,-106.54,53.6,46,20,4.7
22,Castro,BR,2020-10-30 01:28:33,-24.79,-50.01,60.08,96,100,7.0
23,Zhangjiakou,CN,2020-10-30 01:30:08,40.81,114.88,49.17,40,14,2.04
24,Albany,US,2020-10-30 01:30:06,42.6,-73.97,42.01,89,100,10.85
25,Hobart,AU,2020-10-30 01:26:15,-42.88,147.33,66.99,59,20,13.87
26,Ushuaia,AR,2020-10-30 01:26:54,-54.8,-68.3,44.6,70,75,12.75
27,Hilo,US,2020-10-30 01:30:09,19.73,-155.09,80.6,78,90,4.7
28,Clyde River,CA,2020-10-30 01:28:35,70.47,-68.59,18.48,93,100,12.19
29,San Juan Del Sur,NI,2020-10-30 01:30:09,11.25,-85.87,79.36,84,25,6.15
30,Devrek,TR,2020-10-30 01:30:10,41.22,31.96,56.17,75,0,2.75
31,Rabo De Peixe,PT,2020-10-30 01:30:10,37.8,-25.58,68.0,94,75,12.75
32,East London,ZA,2020-10-30 01:26:02,-33.02,27.91,62.33,74,100,17.78
33,Sinnamary,GF,2020-10-30 01:30:10,5.38,-52.95,81.77,83,99,13.96
34,Bredasdorp,ZA,2020-10-30 01:30:11,-34.53,20.04,51.8,62,12,5.82
35,Koslan,RU,2020-10-30 01:30:11,63.46,48.9,42.49,94,100,7.63
